"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xfb7a378a25617f4473feaf0beaf902439fc2fe5cd8810635eb42770bdccf5a79","18931446","1655963412","2022-06-23 05:50:12","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x7947e3194290195aeb32c4fbe0cb4eaea305aa71","32,893,159.66","Transfer"
"0xbcbadf2b312f74846b6d02601dd828f7c908906e422c9038878dc2950299fe06","18932407","1655966299","2022-06-23 06:38:19","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x26b9a8beb8f15a53e4a7eccfd098e367eff7dbb9","3,333,520,677.64","Transfer"
"0x6acd8ead2d53f6a096626fb505479526ec7ffe1626466dbf849616662d2953ae","18932527","1655966659","2022-06-23 06:44:19","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xafa8e7bb02eb018106335261df292357e5e50d9b","86,425,581.37","Transfer"
"0x4c8d51f2b115a88a2452a64033f461740ff9e85d84a4df944c01790b3e09a439","18932984","1655968030","2022-06-23 07:07:10","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","2,174,987,173.83","Transfer"
"0x8febf39347f6a445688324e2047d127a29ba922fd540c9b9a4ed87838660e92b","18933066","1655968276","2022-06-23 07:11:16","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x26b9a8beb8f15a53e4a7eccfd098e367eff7dbb9","3,246,401,921.35","Transfer"
"0xb2262b34d8153bcd52b4afced9fc99680c8a6d6c5cd634c8baafd07d212139de","18933136","1655968486","2022-06-23 07:14:46","0x26b9a8beb8f15a53e4a7eccfd098e367eff7dbb9","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","6,579,922,598.99","Transfer"
"0xdc4eb8168f5904cf3febe53738998f0296121218e15d0ecabe415a597f45146d","18933286","1655968936","2022-06-23 07:22:16","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x18273dda6fa28eb8a7265762828845cb5c4469c8","2,092,827,107","Transfer"
"0x446469145925b2a91844f2f24eb100a324e77168f2d14d8174fa0e0f97cccbfd","18933605","1655969893","2022-06-23 07:38:13","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","2,154,198,202","Transfer"
"0xe76b261fa055a761a5b83f3b7e188f56441179d5257e22537b52d94bc4620eb8","18933699","1655970175","2022-06-23 07:42:55","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","4,329,185,375.83","Transfer"
"0xd051397f0c763879a3770a070009b9fdd79adff7817f8fffe912a215772afbff","18934060","1655971258","2022-06-23 08:00:58","0x18273dda6fa28eb8a7265762828845cb5c4469c8","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","2,092,827,107","Transfer"
"0xb3bb5f5d996eb6a669cd35d4f4c23482cd9ae6c35b43ce553bb6cb662a5368fa","18934502","1655972588","2022-06-23 08:23:08","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","2,896,051,112.89","Transfer"
"0x1e01d463c668063a7bc1d0fea26469540fff7fa21b574019efb2ccb5bb737572","18934620","1655972942","2022-06-23 08:29:02","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","2,896,051,112.89","Transfer"
"0xd10d131c2dccb19ac5ad714a1034e79d9fa3e1013ae82755087efa93c43e2ea6","18936002","1655977088","2022-06-23 09:38:08","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","1,857,247,607.75","Transfer"
"0xe11f5c6bf41a95f56c5a14daf5959e423a0a770d338a056bf98c5f2c02fabb79","18936106","1655977400","2022-06-23 09:43:20","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","1,857,247,607.75","Transfer"
"0xf41db54969f52f84878329638001d9e48b5b7346919d57d79acdd3ebf9f65dbf","18939982","1655989105","2022-06-23 12:58:25","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","990,873,024","Transfer"
"0x49f79f9afe9537b6214f0eff13f640de0d54c61e470e6ce643763c938043d6e0","18940746","1655991400","2022-06-23 13:36:40","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","990,873,024","Transfer"
"0xcca4ef21741887f8c7c7cd5a48e0835befc8a24c1fe490cad1eb12593a3468aa","18940817","1655991613","2022-06-23 13:40:13","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","1,164,694,490.57","Transfer"
"0xaf4e45f6d10fcfd0c8da2e72adfd846fa5b43e2e8821f9ff1a26b7e7750531c1","18940872","1655991778","2022-06-23 13:42:58","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","1,164,694,490.57","Transfer"
"0x9f3617557ad03244708da9b21e95e3c963280cd79bc80d1992f8e476042372d5","18941100","1655992462","2022-06-23 13:54:22","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","1,111,562,679.17","Transfer"
"0xf2ae71942d3fec6b843d69315c24a9bf8ee95763d2b37460ace4adc7db639943","18941159","1655992639","2022-06-23 13:57:19","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","1,111,562,679.17","Transfer"
"0x009870e5f241615ae72fe28b54dccfca4d47f2e0c284e84fa6fd46fe9bd7448f","18941383","1655993311","2022-06-23 14:08:31","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x1ce7287f50742685a69d0f0b66707247429c1212","828,470,321.84","Transfer"
"0xbdd83a84c50d0fe9c22a8704a35a6fd18eb51a94056cf0ecec23593f16fbc4a9","18941711","1655994295","2022-06-23 14:24:55","0xb500db9df160204769b79c41a423dc872e41e9de","0x5e5699172f8cd8a3c089f78926b93606733fa8f6","40,000,000,000","Transfer"
"0xb2918e39146e28839babdcad62eb1566ea1f594bae69b072bffcced2b0892289","18941732","1655994358","2022-06-23 14:25:58","0x5e5699172f8cd8a3c089f78926b93606733fa8f6","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","40,000,000,000","Transfer"
"0x0eba40c57d4ef572af9ed97328b148ddaeeeb7bcfa9182361121457e0a4eb79a","18941975","1655995087","2022-06-23 14:38:07","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","988,278,612.46","Transfer"
"0x15ee9e041155e797a69f3c16db60c06e1b70df5d25eca5aadca5729ad7440dd9","18942080","1655995402","2022-06-23 14:43:22","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","988,278,612.46","Transfer"
"0x942251e8654569e292dd3323598e363b9378aa1cbe35478b32a3de2c0ffd5867","18942122","1655995528","2022-06-23 14:45:28","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x1ce7287f50742685a69d0f0b66707247429c1212","1,430,621,284.89","Transfer"
"0x2978aec95813d21aba5e007abd362b51e9754a6e9eaf5afb529282e425fb5392","18942139","1655995579","2022-06-23 14:46:19","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","1,488,789,136.51","Transfer"
"0xe9b8ddc50c2200509b3b8b7f820509a5ab9fdffec3e047ca5aa4a7cad3ab9322","18942213","1655995801","2022-06-23 14:50:01","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","1,488,789,136.51","Transfer"
"0xfb9a346ba3b70063cbd0ecc35b0d8fa5f71c708a6853634e0d26ac8665759811","18942213","1655995801","2022-06-23 14:50:01","0x1ce7287f50742685a69d0f0b66707247429c1212","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","2,259,091,606.73","Transfer"
"0x16d2d93840801e4591118a9e03f52e2fe6246d6a02ac2707cb1f399b23edb189","18942797","1655997553","2022-06-23 15:19:13","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x619b4779482ebbf78bab00672ff7c6493f7f5a46","3,295,019,674.14","Transfer"
"0xd4ea4e09d3857d5c67b490aa38c5cf3a158648e284aa15663120337504d4d737","18943555","1655999828","2022-06-23 15:57:08","0x619b4779482ebbf78bab00672ff7c6493f7f5a46","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","3,295,019,674.14","Transfer"
"0x9ecc3c7deadaac34e6b86733bddda921aad77c2d2cd85d56a067062b25c571af","18943898","1656000857","2022-06-23 16:14:17","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","1,977,131,181.74","Transfer"
"0xf7b8b0c05fd2232cfe0a4ff952a48bb9d8b1784f928a75b8ff1a800b5e8a2b5d","18943996","1656001151","2022-06-23 16:19:11","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","2,862,421,140.61","Transfer"
"0x58acb623949ba6e47f51994b64379da3bc57aaed562487ca889f1cf167af954d","18944054","1656001325","2022-06-23 16:22:05","0xe6a484bbaa7d6d880b7dda58ae0cc2b50b149cd9","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","1,977,131,181.74","Transfer"
"0x8e3fb209f34b028f5ca66ccccb39388e957424ff13eb374f0df69eb5e455ec2b","18944356","1656002231","2022-06-23 16:37:11","0x4982085c9e2f89f2ecb8131eca71afad896e89cb","0x482a1efc09e4c2eb8d33b850a365c37b6043357f","232,327,873.36","Transfer"
"0xa1a289f4fb2adfa46721cdea9e851abfbdf6e43643b76e1945a782fe23b348cb","18944391","1656002336","2022-06-23 16:38:56","0x482a1efc09e4c2eb8d33b850a365c37b6043357f","0x75987b9edb5463ce1a3a857e11671424600927a4","232,327,873.36","Transfer"
"0xeac495e0f2a0d6f3f9a23912f6dba716b6030eaf3a6395863d275e4a795f6c29","18944691","1656003236","2022-06-23 16:53:56","0xb500db9df160204769b79c41a423dc872e41e9de","0x3d24da45253fee775c065d0bb590948817f16819","40,000,000,000","Transfer"
"0x85977c0a26c9f7e9254029018f3b2618e8e8e4623076f1df89a71e68e602795c","18944761","1656003446","2022-06-23 16:57:26","0xab4ad0cceab0323e01f9115d2859396cfe33b11e","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","2,862,421,140.61","Transfer"
"0x5d377db61458ac2deb62cc10a5d4c202486c2c04a5b22ee271828f7e1deacf6b","18945537","1656005774","2022-06-23 17:36:14","0x3d24da45253fee775c065d0bb590948817f16819","0x124d9bf2fecbc16b54ec4accdb14d44c2144f012","40,000,000,000","Transfer"
